instance_type,cores,direction,threads,message_size,throughput,unit
16,2025_03_14T12_57_50Z,forward,8,64,593.0,Mbits/sec
16,2025_03_14T12_57_50Z,forward,8,128,1.3,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,256,2.35,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,512,4.5,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,1K,7.6,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,2K,13.3,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,4K,17.0,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,8K,20.6,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,16K,33.7,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,32K,38.6,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,64K,39.7,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,128K,39.7,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,256K,39.5,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,512K,39.6,Gbits/sec
16,2025_03_14T12_57_50Z,forward,8,1M,39.7,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,64,500.0,Mbits/sec
16,2025_03_14T12_58_12Z,forward,1,128,1.0,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,256,1.97,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,512,3.77,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,1K,7.06,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,2K,9.51,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,4K,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,8K,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,16K,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,32K,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,64K,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,128K,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,256K,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,512K,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,1,1M,9.52,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,64,572.0,Mbits/sec
16,2025_03_14T12_58_12Z,forward,4,128,1.28,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,256,2.35,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,512,4.76,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,1K,8.22,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,2K,11.4,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,4K,17.6,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,8K,15.8,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,16K,34.2,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,32K,38.1,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,64K,37.8,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,128K,38.1,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,256K,38.1,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,512K,38.0,Gbits/sec
16,2025_03_14T12_58_12Z,forward,4,1M,38.1,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,64,502.0,Mbits/sec
16,2025_03_14T12_58_12Z,forward,8,128,1.24,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,256,2.27,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,512,4.58,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,1K,7.87,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,2K,10.2,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,4K,14.8,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,8K,26.1,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,16K,29.9,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,32K,44.1,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,64K,39.6,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,128K,49.8,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,256K,49.8,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,512K,44.2,Gbits/sec
16,2025_03_14T12_58_12Z,forward,8,1M,49.8,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,64,501.0,Mbits/sec
16,2025_03_14T13_02_24Z,forward,1,128,954.0,Mbits/sec
16,2025_03_14T13_02_24Z,forward,1,256,1.8,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,512,3.72,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,1K,6.71,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,2K,9.51,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,4K,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,8K,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,16K,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,32K,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,64K,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,128K,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,256K,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,512K,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,1,1M,9.52,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,64,634.0,Mbits/sec
16,2025_03_14T13_02_24Z,forward,4,128,1.03,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,256,2.53,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,512,4.32,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,1K,6.67,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,2K,13.2,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,4K,18.8,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,8K,27.3,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,16K,37.6,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,32K,38.1,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,64K,38.0,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,128K,37.8,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,256K,38.1,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,512K,38.1,Gbits/sec
16,2025_03_14T13_02_24Z,forward,4,1M,38.0,Gbits/sec
16,2025_03_14T13_02_24Z,forward,8,64,557.0,Mbits/sec
16,2025_03_14T13_02_24Z,forward,8,128,1.34,Gbits/sec
