direction,throughput,nr_enclaves,eid,timestamp
backward,0.0313,4,4,2025-03-09T11:46:46Z
forward,6.88,4,4,2025-03-09T11:46:46Z
backward,0.745,3,2,2025-03-09T11:45:10Z
forward,10.0,3,2,2025-03-09T11:45:10Z
backward,2.76,2,2,2025-03-09T11:40:58Z
forward,10.7,2,2,2025-03-09T11:40:58Z
backward,2.37,3,2,2025-03-09T13:17:48Z
forward,9.94,3,2,2025-03-09T13:17:48Z
backward,0.281,3,3,2025-03-09T11:43:49Z
forward,9.4,3,3,2025-03-09T11:43:49Z
backward,7.08,2,1,2025-03-09T13:14:57Z
forward,10.8,2,1,2025-03-09T13:14:57Z
backward,6.4,4,1,2025-03-09T13:20:45Z
forward,7.61,4,1,2025-03-09T13:20:45Z
backward,0.00218,4,4,2025-03-09T13:50:04Z
forward,8.2,4,4,2025-03-09T13:50:04Z
backward,0.191,4,3,2025-03-09T13:49:56Z
forward,7.65,4,3,2025-03-09T13:49:56Z
backward,1.87,3,2,2025-03-09T13:47:07Z
forward,10.0,3,2,2025-03-09T13:47:07Z
backward,6.66,4,1,2025-03-09T13:50:15Z
forward,6.02,4,1,2025-03-09T13:50:15Z
backward,6.14,1,1,2025-03-09T13:12:10Z
forward,12.8,1,1,2025-03-09T13:12:10Z
backward,6.85,1,1,2025-03-09T13:41:22Z
forward,13.6,1,1,2025-03-09T13:41:22Z
backward,8.75,3,1,2025-03-09T13:47:18Z
forward,8.68,3,1,2025-03-09T13:47:18Z
backward,6.0,4,1,2025-03-09T11:46:46Z
forward,6.68,4,1,2025-03-09T11:46:46Z
backward,0.088,3,3,2025-03-09T11:45:10Z
forward,10.2,3,3,2025-03-09T11:45:10Z
backward,6.18,3,1,2025-03-09T11:45:08Z
forward,9.26,3,1,2025-03-09T11:45:08Z
backward,5.22,1,1,2025-03-09T11:38:12Z
forward,12.6,1,1,2025-03-09T11:38:12Z
backward,6.04,1,1,2025-03-09T13:11:46Z
forward,12.9,1,1,2025-03-09T13:11:46Z
backward,2.06,2,2,2025-03-09T11:42:19Z
forward,12.3,2,2,2025-03-09T11:42:19Z
backward,7.74,4,1,2025-03-09T13:50:04Z
forward,8.18,4,1,2025-03-09T13:50:04Z
backward,0.0176,4,4,2025-03-09T13:20:45Z
forward,7.61,4,4,2025-03-09T13:20:45Z
backward,2.1,4,2,2025-03-09T13:49:56Z
forward,8.08,4,2,2025-03-09T13:49:56Z
backward,2.24,2,2,2025-03-09T13:44:16Z
forward,12.5,2,2,2025-03-09T13:44:16Z
backward,0.194,3,3,2025-03-09T13:47:07Z
forward,10.2,3,3,2025-03-09T13:47:07Z
backward,0.00757,4,4,2025-03-09T13:50:15Z
forward,5.95,4,4,2025-03-09T13:50:15Z
backward,7.41,1,1,2025-03-09T11:39:33Z
forward,13.5,1,1,2025-03-09T11:39:33Z
backward,0.20700000000000002,3,3,2025-03-09T13:17:48Z
forward,10.0,3,3,2025-03-09T13:17:48Z
backward,2.67,3,2,2025-03-09T11:43:49Z
forward,9.31,3,2,2025-03-09T11:43:49Z
backward,0.00774,4,4,2025-03-09T11:48:05Z
forward,6.74,4,4,2025-03-09T11:48:05Z
backward,2.24,3,2,2025-03-09T13:17:23Z
forward,9.15,3,2,2025-03-09T13:17:23Z
backward,7.74,2,1,2025-03-09T13:44:08Z
forward,12.3,2,1,2025-03-09T13:44:08Z
backward,0.182,4,3,2025-03-09T13:20:20Z
forward,7.93,4,3,2025-03-09T13:20:20Z
backward,0.165,4,3,2025-03-09T13:20:00Z
forward,7.55,4,3,2025-03-09T13:20:00Z
backward,0.16,3,3,2025-03-09T13:17:04Z
forward,10.4,3,3,2025-03-09T13:17:04Z
backward,6.83,1,1,2025-03-09T13:11:26Z
forward,13.7,1,1,2025-03-09T13:11:26Z
backward,2.0,4,2,2025-03-09T11:48:07Z
forward,7.73,4,2,2025-03-09T11:48:07Z
